,Order Date,Ship Mode,Segment,Country,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,Year,Month_Number,Month_Name
20,2019-01-08,Standard Class,Consumer,United States,Raleigh,North Carolina,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",30.828,7,-24.6624,,Cards,2019,1,January
21,2019-01-08,Standard Class,Consumer,United States,Raleigh,North Carolina,Office Supplies,Art,Newell 319,47.616,3,5.952,,COD,2019,1,January
22,2019-01-08,Standard Class,Consumer,United States,Raleigh,North Carolina,Technology,Phones,Avaya 5410 Digital phone,108.784,2,10.8784,,COD,2019,1,January
23,2019-01-09,Standard Class,Corporate,United States,Fresno,California,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,349.95,5,118.983,,COD,2019,1,January
24,2019-01-09,Standard Class,Corporate,United States,Fresno,California,Technology,Phones,netTALK DUO VoIP Telephone Service,377.928,9,141.723,,Cards,2019,1,January
25,2019-01-09,Second Class,Corporate,United States,Toledo,Ohio,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,,Cards,2019,1,January
26,2019-01-10,Standard Class,Corporate,United States,Seattle,Washington,Furniture,Furnishings,24-Hour Round Wall Clock,79.92,4,34.3656,,Cards,2019,1,January
27,2019-01-10,Standard Class,Corporate,United States,Seattle,Washington,Technology,Accessories,Logitech Media Keyboard K200,69.98,2,13.2962,,COD,2019,1,January
28,2019-01-10,Second Class,Consumer,United States,Longview,Washington,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,5,7.7035,,Cards,2019,1,January
29,2019-01-11,Second Class,Home Office,United States,Springfield,Ohio,Office Supplies,Paper,Xerox 2,15.552,3,5.4432,,Online,2019,1,January
30,2019-01-11,Second Class,Home Office,United States,Springfield,Ohio,Office Supplies,Paper,Xerox 1935,63.312,3,20.5764,,Cards,2019,1,January
31,2019-01-11,Second Class,Home Office,United States,Springfield,Ohio,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,15.588,2,-9.8724,,Online,2019,1,January
32,2019-01-11,Standard Class,Home Office,United States,Columbus,Ohio,Furniture,Furnishings,Ultra Door Push Plate,54.992,14,8.9362,,Online,2019,1,January
33,2019-01-14,Standard Class,Consumer,United States,Concord,North Carolina,Office Supplies,Paper,Xerox 1882,89.568,2,32.4684,,Cards,2019,1,January
34,2019-01-14,Standard Class,Consumer,United States,Concord,North Carolina,Furniture,Furnishings,Electrix Fluorescent Magnifier Lamps & Weighted Base,315.776,8,31.5776,,Online,2019,1,January
35,2019-01-15,Standard Class,Home Office,United States,Westfield,New Jersey,Office Supplies,Envelopes,Quality Park Security Envelopes,52.34,2,24.5998,,Cards,2019,1,January
36,2019-01-15,Standard Class,Home Office,United States,Westfield,New Jersey,Office Supplies,Art,American Pencil,4.66,2,1.3514,,COD,2019,1,January
37,2019-01-15,Standard Class,Home Office,United States,Westfield,New Jersey,Technology,Accessories,Logitech Gaming G510s - Keyboard,254.97,3,91.7892,,Cards,2019,1,January
38,2019-01-15,Same Day,Consumer,United States,Fairfield,Connecticut,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",181.797,1,-15.5826,,COD,2019,1,January
39,2019-01-15,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,4,7.5992,,Online,2019,1,January
40,2019-01-15,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Paper,Xerox 1959,60.12,9,28.8576,,COD,2019,1,January
41,2019-01-15,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,17.3376,,Cards,2019,1,January
42,2019-01-15,First Class,Home Office,United States,New York City,New York,Office Supplies,Paper,Xerox 1893,81.98,2,40.1702,,Online,2019,1,January
43,2019-01-16,Second Class,Consumer,United States,Los Angeles,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,4.2224,,Cards,2019,1,January
44,2019-01-16,Second Class,Consumer,United States,Los Angeles,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741,,COD,2019,1,January
45,2019-01-17,Standard Class,Home Office,United States,Concord,New Hampshire,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,64.518,,COD,2019,1,January
46,2019-01-17,Standard Class,Home Office,United States,Concord,New Hampshire,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99,1,13.1956,,Online,2019,1,January
47,2019-01-17,Standard Class,Home Office,United States,Concord,New Hampshire,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,3,66.9546,,Online,2019,1,January
48,2019-01-17,Standard Class,Corporate,United States,Columbus,Georgia,Technology,Accessories,First Data FD10 PIN Pad,316.0,4,31.6,,Online,2019,1,January
49,2019-01-21,Second Class,Consumer,United States,San Diego,California,Furniture,Chairs,Global Super Steno Chair,153.568,2,-5.7588,,COD,2019,1,January
50,2019-01-21,Second Class,Consumer,United States,San Diego,California,Furniture,Chairs,Global Ergonomic Managers Chair,1013.488,7,76.0116,,COD,2019,1,January
51,2019-01-22,Standard Class,Consumer,United States,Morristown,New Jersey,Office Supplies,Fasteners,Bagged Rubber Bands,7.56,6,0.3024,,COD,2019,1,January
52,2019-01-22,Standard Class,Consumer,United States,Fayetteville,North Carolina,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,14.272,8,4.2816,,COD,2019,1,January
53,2019-01-22,Standard Class,Consumer,United States,Fayetteville,North Carolina,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,-67.6704,,COD,2019,1,January
54,2019-01-22,Standard Class,Consumer,United States,Fayetteville,North Carolina,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,6.4864,,COD,2019,1,January
55,2019-01-22,Standard Class,Corporate,United States,Seattle,Washington,Furniture,Furnishings,"Contract Clock, 14"", Brown",109.9,5,37.366,,Online,2019,1,January
56,2019-01-22,Standard Class,Consumer,United States,Seattle,Washington,Office Supplies,Paper,Xerox 218,12.96,2,6.2208,,Online,2019,1,January
57,2019-01-22,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Labels,Avery 475,44.4,3,22.2,,Online,2019,1,January
58,2019-01-22,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Labels,Avery 476,20.65,5,9.499,,Online,2019,1,January
59,2019-01-22,Standard Class,Home Office,United States,Cleveland,Ohio,Technology,Phones,Panasonic Kx-TS550,110.376,4,-20.2356,,Online,2019,1,January
60,2019-01-22,Standard Class,Home Office,United States,Cleveland,Ohio,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55.176,3,15.8631,,Cards,2019,1,January
61,2019-01-22,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,26.336,4,9.2176,,Online,2019,1,January
62,2019-01-23,Standard Class,Consumer,United States,Los Angeles,California,Furniture,Furnishings,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,,Online,2019,1,January
63,2019-01-23,Standard Class,Corporate,United States,Burlington,Vermont,Technology,Accessories,Logitech Wireless Marathon Mouse M705,99.98,2,42.9914,,COD,2019,1,January
64,2019-01-23,Standard Class,Corporate,United States,Burlington,Vermont,Office Supplies,Art,4009 Highlighters,8.04,6,2.7336,,COD,2019,1,January
65,2019-01-23,Standard Class,Corporate,United States,Burlington,Vermont,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,1564.29,13,406.7154,,Online,2019,1,January
66,2019-01-24,Second Class,Corporate,United States,Gulfport,Mississippi,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,31.36,4,15.68,,COD,2019,1,January
67,2019-01-25,First Class,Corporate,United States,Plainfield,New Jersey,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",9.21,3,2.3025,,COD,2019,1,January
68,2019-01-25,First Class,Corporate,United States,Plainfield,New Jersey,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",18.0,5,8.28,,Cards,2019,1,January
69,2019-01-25,Second Class,Corporate,United States,New York City,New York,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",43.12,5,15.092,,Online,2019,1,January
70,2019-01-25,Second Class,Corporate,United States,New York City,New York,Furniture,Tables,Chromcraft Round Conference Tables,313.722,3,-99.3453,,COD,2019,1,January
71,2019-01-25,Second Class,Corporate,United States,New York City,New York,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,,Online,2019,1,January
72,2019-01-25,Second Class,Corporate,United States,New York City,New York,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",428.68,7,0.0,,Online,2019,1,January
73,2019-01-28,Second Class,Corporate,United States,Los Angeles,California,Office Supplies,Art,Newell 345,39.68,2,10.3168,,COD,2019,1,January
74,2019-01-30,Standard Class,Consumer,United States,San Francisco,California,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,17.456,2,5.8914,,COD,2019,1,January
75,2019-01-30,First Class,Consumer,United States,San Francisco,California,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",305.01,9,76.2525,,Online,2019,1,January
76,2019-01-30,First Class,Consumer,United States,San Francisco,California,Office Supplies,Binders,GBC Wire Binding Strips,50.784,2,17.7744,,Online,2019,1,January
77,2019-01-30,First Class,Consumer,United States,San Francisco,California,Office Supplies,Labels,Avery 512,26.01,9,12.2247,,Online,2019,1,January
78,2019-01-30,Second Class,Consumer,United States,Seattle,Washington,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,435.168,4,-59.8356,,COD,2019,1,January
79,2019-01-30,Second Class,Consumer,United States,Seattle,Washington,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,7.7728,,Online,2019,1,January
80,2019-01-30,Standard Class,Corporate,United States,Chicago,Illinois,Office Supplies,Paper,Xerox 1943,156.512,4,52.8228,,COD,2019,1,January
81,2019-01-30,Standard Class,Consumer,United States,Rockford,Illinois,Technology,Phones,Nokia Lumia 1020,1439.968,4,143.9968,,Online,2019,1,January
82,2019-01-30,Standard Class,Consumer,United States,Rockford,Illinois,Office Supplies,Binders,Avery Durable Binders,1.728,3,-2.6784,,Cards,2019,1,January
83,2019-01-30,Standard Class,Consumer,United States,Rockford,Illinois,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,626.1,3,-538.446,,Online,2019,1,January
84,2019-01-31,Standard Class,Home Office,United States,Los Angeles,California,Technology,Phones,AT&T 1080 Phone,109.592,1,8.2194,,Cards,2019,1,January
85,2019-01-31,Standard Class,Home Office,United States,Los Angeles,California,Office Supplies,Paper,Easy-staple paper,56.7,5,27.783,,COD,2019,1,January
86,2019-01-31,Second Class,Consumer,United States,Dallas,Texas,Office Supplies,Paper,Xerox 1994,15.552,3,5.4432,,Cards,2019,1,January
87,2019-01-31,Second Class,Corporate,United States,Atlantic City,New Jersey,Office Supplies,Envelopes,Staple envelope,23.36,2,11.68,,Cards,2019,1,January
88,2019-01-31,Standard Class,Home Office,United States,Atlanta,Georgia,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,635.495,,Online,2019,1,January
89,2019-01-31,Standard Class,Home Office,United States,Atlanta,Georgia,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.36,8,58.9192,,Cards,2019,1,January
90,2019-02-01,First Class,Corporate,United States,Arlington,Virginia,Office Supplies,Storage,X-Rack File for Hanging Folders,56.45,5,14.677,,COD,2019,2,February
91,2019-02-01,Standard Class,Corporate,United States,Los Angeles,California,Office Supplies,Paper,Xerox 1883,1105.52,4,48.5392,,Online,2019,2,February
92,2019-02-02,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",117.96,2,5.898,,COD,2019,2,February
93,2019-02-02,Second Class,Consumer,United States,Arlington,Virginia,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4749.95,5,2799.984,,COD,2019,2,February
94,2019-02-02,Second Class,Consumer,United States,Arlington,Virginia,Office Supplies,Binders,Presstex Flexible Ring Binders,36.4,8,18.2,,COD,2019,2,February
95,2019-02-02,Second Class,Consumer,United States,Arlington,Virginia,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,18.69,7,7.1022,,Online,2019,2,February
96,2019-02-02,Standard Class,Corporate,United States,Houston,Texas,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",73.784,2,-77.4732,,COD,2019,2,February
97,2019-02-03,Standard Class,Consumer,United States,Richmond,Kentucky,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,4,225.264,,COD,2019,2,February
98,2019-02-04,Standard Class,Consumer,United States,Sierra Vista,Arizona,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,3.9512,,COD,2019,2,February
99,2019-02-04,Standard Class,Consumer,United States,Rockville,Maryland,Technology,Phones,AT&T 17929 Lendline Telephone,90.48,2,23.5248,,COD,2019,2,February
100,2019-02-04,Standard Class,Corporate,United States,Los Angeles,California,Office Supplies,Storage,Safco Commercial Shelving,93.02,2,3.7208,,COD,2019,2,February
101,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",80.98,1,1.6196,,COD,2019,2,February
102,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Office Supplies,Paper,White Computer Printout Paper by Universal,348.84,9,170.9316,,Online,2019,2,February
103,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,9.45,5,0.189,,Online,2019,2,February
104,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Black",18.84,3,7.1592,,Online,2019,2,February
105,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",239.98,2,52.7956,,COD,2019,2,February
106,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,167.96,2,78.9412,,COD,2019,2,February
107,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,104.85,3,28.3095,,COD,2019,2,February
108,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Technology,Phones,Aastra 57i VoIP phone,484.83,3,126.0558,,COD,2019,2,February
109,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",122.97,3,60.2553,,Online,2019,2,February
110,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",154.44,3,1.5444,,COD,2019,2,February
111,2019-02-05,Same Day,Home Office,United States,Smyrna,Georgia,Office Supplies,Paper,Xerox 1943,342.37,7,160.9139,,COD,2019,2,February
112,2019-02-05,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Labels,Avery 508,14.73,3,7.2177,,COD,2019,2,February
113,2019-02-05,Standard Class,Consumer,United States,San Diego,California,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",186.54,3,50.3658,,Online,2019,2,February
114,2019-02-05,Standard Class,Consumer,United States,San Diego,California,Furniture,Tables,Chromcraft Round Conference Tables,557.728,4,6.9716,,COD,2019,2,February
115,2019-02-05,Standard Class,Consumer,United States,San Diego,California,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,159.968,4,-31.9936,,COD,2019,2,February
116,2019-02-06,Standard Class,Corporate,United States,Chattanooga,Tennessee,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",132.224,4,-18.1808,,COD,2019,2,February
117,2019-02-07,Same Day,Consumer,United States,Springfield,Virginia,Technology,Accessories,Micro Innovations USB RF Wireless Keyboard with Mouse,100.0,4,21.0,,COD,2019,2,February
118,2019-02-07,Same Day,Consumer,United States,Springfield,Virginia,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,7.83,3,3.6018,,COD,2019,2,February
119,2019-02-07,First Class,Consumer,United States,Lancaster,Ohio,Office Supplies,Paper,Xerox 1912,30.352,2,10.6232,,Online,2019,2,February
120,2019-02-07,Second Class,Corporate,United States,Los Angeles,California,Technology,Phones,Motorola L703CM,623.96,5,38.9975,,COD,2019,2,February
121,2019-02-08,Second Class,Home Office,United States,Raleigh,North Carolina,Technology,Phones,Samsung Galaxy S4 Mini,1127.976,3,126.8973,,COD,2019,2,February
122,2019-02-08,Standard Class,Corporate,United States,Houston,Texas,Furniture,Chairs,Harbour Creations Steel Folding Chair,241.5,4,0.0,,COD,2019,2,February
123,2019-02-09,Standard Class,Corporate,United States,San Francisco,California,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,39.5868,,COD,2019,2,February
124,2019-02-09,Standard Class,Corporate,United States,San Francisco,California,Technology,Accessories,Maxell 4.7GB DVD+RW 3/Pack,31.86,2,11.151,,COD,2019,2,February
125,2019-02-11,First Class,Corporate,United States,Tulsa,Oklahoma,Technology,Phones,Mediabridge Sport Armband iPhone 5s,69.93,7,0.6993,,Online,2019,2,February
126,2019-02-12,First Class,Consumer,United States,Atlanta,Georgia,Office Supplies,Storage,Tennsco Double-Tier Lockers,1350.12,6,175.5156,,Online,2019,2,February
127,2019-02-12,First Class,Consumer,United States,Atlanta,Georgia,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,7.4824,,COD,2019,2,February
128,2019-02-13,Standard Class,Home Office,United States,Los Angeles,California,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,146.82,3,73.41,,Online,2019,2,February
129,2019-02-14,First Class,Consumer,United States,Clinton,Maryland,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",4.77,1,2.1465,,COD,2019,2,February
130,2019-02-14,First Class,Consumer,United States,Clinton,Maryland,Office Supplies,Art,Economy #2 Pencils,7.98,3,2.0748,,COD,2019,2,February
131,2019-02-14,First Class,Consumer,United States,Clinton,Maryland,Furniture,Tables,Bevis Boat-Shaped Conference Table,550.431,3,-47.1798,,Online,2019,2,February
132,2019-02-14,First Class,Consumer,United States,Clinton,Maryland,Furniture,Furnishings,Regeneration Desk Collection,10.56,6,4.6464,,Online,2019,2,February
133,2019-02-14,Standard Class,Consumer,United States,Jackson,Mississippi,Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,264.18,7,68.6868,,COD,2019,2,February
134,2019-02-15,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,398.352,3,124.485,,COD,2019,2,February
135,2019-02-15,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Fasteners,Advantus Push Pins,8.72,4,3.5752,,Online,2019,2,February
136,2019-02-16,Standard Class,Corporate,United States,Chicago,Illinois,Office Supplies,Appliances,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,92.064,6,-225.5568,,Online,2019,2,February
137,2019-02-16,Standard Class,Corporate,United States,Chicago,Illinois,Office Supplies,Fasteners,Advantus Push Pins,6.976,4,1.8312,,Online,2019,2,February
138,2019-02-16,Standard Class,Corporate,United States,Chicago,Illinois,Furniture,Chairs,"Global Stack Chair with Arms, Black",62.958,3,-2.6982,,Online,2019,2,February
139,2019-02-16,Standard Class,Corporate,United States,Chicago,Illinois,Office Supplies,Paper,Xerox 206,5.184,1,1.8144,,Online,2019,2,February
140,2019-02-16,Standard Class,Consumer,United States,Belleville,New Jersey,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,227.96,2,36.4736,,Online,2019,2,February
141,2019-02-16,Standard Class,Consumer,United States,Henderson,Kentucky,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,318.08,4,34.9888,,COD,2019,2,February
142,2019-02-16,Standard Class,Consumer,United States,Henderson,Kentucky,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,5.8,1,2.61,,COD,2019,2,February
143,2019-02-16,Standard Class,Consumer,United States,New York City,New York,Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,326.646,3,39.9234,,Online,2019,2,February
144,2019-02-16,Standard Class,Consumer,United States,New York City,New York,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,39.5868,,Online,2019,2,February
145,2019-02-19,Standard Class,Consumer,United States,New York City,New York,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2,14.6718,,COD,2019,2,February
146,2019-02-19,Standard Class,Consumer,United States,New York City,New York,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,242.94,3,9.7176,,COD,2019,2,February
147,2019-02-19,Second Class,Corporate,United States,Long Beach,New York,Office Supplies,Labels,Staple-on labels,8.67,3,4.0749,,Online,2019,2,February
148,2019-02-19,Second Class,Corporate,United States,Long Beach,New York,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,25.71,3,6.6846,,COD,2019,2,February
149,2019-02-19,Second Class,Consumer,United States,San Francisco,California,Office Supplies,Paper,Xerox 1880,70.88,2,33.3136,,COD,2019,2,February
150,2019-02-20,Standard Class,Consumer,United States,Nashville,Tennessee,Office Supplies,Paper,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",16.496,2,5.5674,,COD,2019,2,February
151,2019-02-21,Second Class,Corporate,United States,Los Angeles,California,Technology,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,12.99,1,0.7794,,COD,2019,2,February
152,2019-02-21,Second Class,Corporate,United States,Los Angeles,California,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",18.56,4,6.496,,Online,2019,2,February
153,2019-02-21,Second Class,Corporate,United States,Los Angeles,California,Office Supplies,Storage,Fellowes Officeware Wire Shelving,449.15,5,8.983,,COD,2019,2,February
154,2019-02-21,Second Class,Corporate,United States,Los Angeles,California,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,31.248,7,10.9368,,COD,2019,2,February
155,2019-02-21,Standard Class,Corporate,United States,Oceanside,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,68.95,5,28.959,,COD,2019,2,February
156,2019-02-21,Standard Class,Corporate,United States,Oceanside,New York,Office Supplies,Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",296.37,3,80.0199,,COD,2019,2,February
157,2019-02-21,Standard Class,Corporate,United States,Oceanside,New York,Technology,Phones,iOttie HLCRIO102 Car Mount,39.98,2,1.999,,COD,2019,2,February
158,2019-02-21,Standard Class,Home Office,United States,Tampa,Florida,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,3.762,3,-2.7588,,COD,2019,2,February
159,2019-02-21,Standard Class,Home Office,United States,Tampa,Florida,Office Supplies,Binders,Avery Arch Ring Binders,34.86,2,-26.726,,Online,2019,2,February
160,2019-02-21,Standard Class,Home Office,United States,Tampa,Florida,Office Supplies,Storage,Standard Rollaway File with Lock,432.456,3,32.4342,,COD,2019,2,February
161,2019-02-21,First Class,Corporate,United States,New York City,New York,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",135.8,7,66.542,,COD,2019,2,February
